epoch,train_loss,val_loss,train_accuracy,val_accuracy,lora_grad_norm
1,1.621822,0.479963,0.636556,0.8656,0.312244
2,0.608818,0.393078,0.823933,0.878,0.443676
3,0.520247,0.368016,0.847422,0.8866,0.450656
4,0.476588,0.347797,0.859311,0.8922,0.449277
5,0.440606,0.338877,0.869022,0.8932,0.441229
6,0.420806,0.325711,0.874089,0.8978,0.446117
7,0.398052,0.318808,0.881467,0.9,0.44215
8,0.378476,0.324452,0.886022,0.8994,0.443479
9,0.368813,0.317813,0.888711,0.9006,0.440446
10,0.348056,0.318775,0.895156,0.9042,0.443177
