epoch,train_loss,val_loss,train_accuracy,val_accuracy
1,1.63438,1.407807,0.405,0.4902
2,1.30594,1.164116,0.528867,0.5912
3,1.135911,1.03623,0.590378,0.6338
4,1.03325,0.918574,0.631733,0.6648
5,0.95256,0.889345,0.662178,0.6748
6,0.896377,0.856151,0.680822,0.702
7,0.841513,0.793131,0.701178,0.7158
8,0.801119,0.775777,0.718111,0.723
9,0.761988,0.779492,0.729178,0.7258
10,0.716975,0.717692,0.746733,0.7384
11,0.684215,0.679562,0.755911,0.76
12,0.650609,0.690298,0.769089,0.7536
13,0.620339,0.670382,0.781289,0.762
14,0.587204,0.639045,0.791622,0.7716
15,0.564471,0.628277,0.800422,0.7786
16,0.540445,0.616178,0.809067,0.7828
17,0.522151,0.610576,0.814778,0.7808
18,0.50517,0.604755,0.822267,0.7874
19,0.497545,0.604265,0.823044,0.7878
20,0.489588,0.600991,0.825756,0.7858
