epoch,train_loss,val_loss,train_accuracy,val_accuracy
1,0.675529,0.371543,0.541333,0.8672
2,0.097549,0.046557,0.962789,0.9818
3,0.041448,0.021436,0.985633,0.9936
4,0.02851,0.449479,0.990133,0.8928
5,0.01859,0.113839,0.993633,0.9647
6,0.016033,0.223242,0.994833,0.9267
7,0.013636,0.021221,0.995489,0.9929
8,0.007674,0.011195,0.997567,0.9971
9,0.006597,0.057374,0.997744,0.9826
10,0.004894,0.012955,0.998289,0.9972
11,0.003098,0.009311,0.999033,0.9975
12,0.001092,0.011479,0.999644,0.9977
13,0.000273,0.011926,0.999933,0.9979
14,0.000164,0.012971,0.999944,0.9976
15,7.7e-05,0.012349,0.999967,0.9978
