epoch,train_loss,val_loss,train_accuracy,val_accuracy
1,0.702189,0.615538,0.519489,0.6456
2,0.13135,0.065687,0.946644,0.9772
3,0.042164,0.030833,0.985333,0.9897
4,0.028376,0.020075,0.9899,0.993
5,0.018023,0.069458,0.994078,0.9738
6,0.015556,0.026925,0.994867,0.9901
7,0.013878,0.010515,0.995422,0.996
8,0.008323,0.023516,0.997033,0.9934
9,0.006232,0.02089,0.997978,0.9938
10,0.00447,0.011945,0.998533,0.9965
11,0.002827,0.011944,0.998967,0.9972
12,0.000746,0.010943,0.999733,0.9977
13,0.000489,0.014831,0.999856,0.9971
14,0.000142,0.013559,0.999967,0.9978
15,9.7e-05,0.011007,0.999967,0.9981
