dataset,model,batch_size,optimizer,learning_rate,scheduler,epochs,seed,pin_memory,best_val_acc,test_acc,train_time_ms,flops,timestamp
mnist,resnet18,32,adam,0.001,none,10,35,True,99.07142857142857,99.05,149228.24573516846,0.03G,2026-01-22 00:16:32
mnist,resnet18,32,adam,0.001,cosine,10,35,True,99.44285714285714,99.4,147027.96030044556,0.03G,2026-01-22 00:19:05
mnist,resnet18,32,adam,0.001,none,10,78,True,99.05714285714286,99.06428571428572,145046.537399292,0.03G,2026-01-22 00:19:08
mnist,resnet18,32,adam,0.001,cosine,10,78,True,99.41428571428571,99.48571428571428,149276.0329246521,0.03G,2026-01-22 00:21:45
mnist,resnet18,32,adam,0.001,none,10,13,True,99.02857142857142,99.15,153551.94902420044,0.03G,2026-01-22 00:21:52
mnist,resnet18,32,adam,0.001,cosine,10,13,True,99.38571428571429,99.4,154613.3680343628,0.03G,2026-01-22 00:24:30
mnist,resnet18,32,adam,0.001,plateau,10,35,True,99.07142857142857,99.05,151873.6743927002,0.03G,2026-01-22 00:25:53
mnist,resnet18,32,adam,0.001,plateau,10,78,True,99.05714285714286,99.06428571428572,149702.8980255127,0.03G,2026-01-22 00:28:33
mnist,resnet18,32,adam,0.0001,none,10,35,True,99.12857142857143,99.00714285714285,138226.09400749207,0.03G,2026-01-22 00:29:55
mnist,resnet18,32,adam,0.001,plateau,10,13,True,99.02857142857142,99.15,145674.40724372864,0.03G,2026-01-22 00:31:08
mnist,resnet18,32,adam,0.0001,none,10,78,True,98.92857142857143,99.10714285714286,151203.15599441528,0.03G,2026-01-22 00:32:37
mnist,resnet18,32,adam,0.0001,cosine,10,35,True,99.47142857142858,99.25,163513.4735107422,0.03G,2026-01-22 00:35:02
mnist,resnet18,32,adam,0.0001,none,10,13,True,98.98571428571428,99.08571428571429,167264.60671424866,0.03G,2026-01-22 00:35:37
mnist,resnet18,32,adam,0.0001,cosine,10,78,True,99.22857142857143,99.33571428571429,150349.14898872375,0.03G,2026-01-22 00:37:43
mnist,resnet18,32,adam,0.0001,plateau,10,35,True,99.07142857142857,99.17857142857143,154026.31545066833,0.03G,2026-01-22 00:39:08
mnist,resnet18,32,adam,0.0001,cosine,10,13,True,99.05714285714286,99.21428571428571,149422.14488983154,0.03G,2026-01-22 00:40:23
mnist,resnet18,32,adam,0.0001,plateau,10,78,True,99.07142857142857,99.15714285714286,160655.97248077393,0.03G,2026-01-22 00:41:59
mnist,resnet18,32,adam,0.0001,plateau,10,13,True,98.97142857142858,99.02142857142857,167870.18036842346,0.03G,2026-01-22 00:44:59
mnist,resnet50,32,adam,0.001,none,10,35,True,98.82857142857142,98.81428571428572,355342.9887294769,0.08G,2026-01-22 00:52:46
mnist,resnet18,32,adam,0.001,none,20,35,True,99.41428571428571,99.26428571428572,287471.90952301025,0.03G,2026-01-22 00:53:10
mnist,resnet18,32,adam,0.001,none,20,78,True,99.3,99.27142857142857,305835.0727558136,0.03G,2026-01-22 00:58:35
mnist,resnet50,32,adam,0.001,none,10,78,True,98.71428571428571,98.95,361038.0313396454,0.08G,2026-01-22 00:59:07
mnist,resnet18,32,adam,0.001,cosine,20,35,True,99.54285714285714,99.42857142857143,342560.9219074249,0.03G,2026-01-22 01:03:23
mnist,resnet18,32,adam,0.001,none,20,13,True,99.2,99.20714285714286,318970.2076911926,0.03G,2026-01-22 01:04:14
mnist,resnet50,32,adam,0.001,none,10,13,True,98.77142857142857,98.93571428571428,347556.6167831421,0.08G,2026-01-22 01:05:13
mnist,resnet18,32,adam,0.001,cosine,20,78,True,99.41428571428571,99.45714285714286,317716.48716926575,0.03G,2026-01-22 01:09:02
mnist,resnet18,32,adam,0.001,plateau,20,35,True,99.41428571428571,99.26428571428572,316894.4435119629,0.03G,2026-01-22 01:10:58
mnist,resnet50,32,adam,0.001,plateau,10,35,True,98.82857142857142,98.81428571428572,336326.04002952576,0.08G,2026-01-22 01:12:46
mnist,resnet18,32,adam,0.001,cosine,20,13,True,99.38571428571429,99.4,329268.013715744,0.03G,2026-01-22 01:14:54
mnist,resnet18,32,adam,0.001,plateau,20,78,True,99.34285714285714,99.36428571428571,309124.1490840912,0.03G,2026-01-22 01:16:29
mnist,resnet50,32,adam,0.001,plateau,10,78,True,98.71428571428571,98.95,375712.26263046265,0.08G,2026-01-22 01:19:25
mnist,resnet50,32,adam,0.001,cosine,10,35,True,99.37142857142857,99.25714285714285,377646.9957828522,0.08G,2026-01-22 01:19:42
mnist,resnet18,32,adam,0.001,plateau,20,13,True,99.34285714285714,99.26428571428572,324092.7336215973,0.03G,2026-01-22 01:22:14
mnist,resnet18,32,adam,0.001,cosine,20,35,True,99.54285714285714,99.42857142857143,330464.1044139862,0.03G,2026-01-22 01:23:09
mnist,resnet50,32,adam,0.001,plateau,10,13,True,98.77142857142857,98.93571428571428,383249.36270713806,0.08G,2026-01-22 01:26:12
mnist,resnet50,32,adam,0.001,cosine,10,78,True,99.15714285714286,99.32857142857142,367936.7940425873,0.08G,2026-01-22 01:26:14
mnist,resnet18,32,adam,0.001,cosine,20,78,True,99.41428571428571,99.45714285714286,281151.4277458191,0.03G,2026-01-22 01:28:12
mnist,resnet18,32,adam,0.001,cosine,20,13,True,99.38571428571429,99.4,285689.284324646,0.03G,2026-01-22 01:33:16
mnist,resnet50,32,adam,0.001,cosine,10,13,True,99.28571428571429,99.33571428571429,413740.895986557,0.08G,2026-01-22 01:33:39
mnist,resnet18,32,adam,0.0001,none,20,35,True,99.17142857142858,99.10714285714286,441405.90953826904,0.03G,2026-01-22 01:34:03
mnist,resnet50,32,adam,0.001,none,10,35,True,98.82857142857142,98.81428571428572,415036.1967086792,0.08G,2026-01-22 01:34:57
mnist,resnet18,32,adam,0.0001,none,20,78,True,99.22857142857143,99.24285714285715,303943.45712661743,0.03G,2026-01-22 01:39:27
mnist,resnet50,32,adam,0.001,none,10,78,True,98.71428571428571,98.95,363505.441904068,0.08G,2026-01-22 01:41:22
mnist,resnet18,32,adam,0.0001,none,20,13,True,98.97142857142858,99.02142857142857,192032.34910964966,0.03G,2026-01-22 01:42:53
mnist,resnet50,32,adam,0.001,none,10,13,True,98.77142857142857,98.93571428571428,351318.8111782074,0.08G,2026-01-22 01:47:33
mnist,resnet50,32,adam,0.0001,none,10,35,True,98.47142857142858,98.40714285714286,368429.5823574066,0.08G,2026-01-22 01:54:44
mnist,resnet18,32,adam,0.0001,plateau,20,35,True,99.17142857142858,99.3,356021.76213264465,0.03G,2026-01-22 01:58:28
mnist,resnet50,32,adam,0.0001,none,10,78,True,98.44285714285714,98.70714285714286,364561.5816116333,0.08G,2026-01-22 02:01:12
mnist,resnet18,32,adam,0.0001,plateau,20,78,True,99.22857142857143,99.37142857142857,282809.3526363373,0.03G,2026-01-22 02:03:31
mnist,resnet18,16,sgd,0.001,none,10,35,True,99.11428571428571,98.91428571428571,292594.28000450134,0.03G,2026-01-22 02:18:39
mnist,resnet18,16,sgd,0.001,none,10,78,True,99.2,99.2,311264.0163898468,0.03G,2026-01-22 02:24:06
mnist,resnet18,16,sgd,0.001,none,10,13,True,99.11428571428571,99.17857142857143,305187.313079834,0.03G,2026-01-22 02:29:29
mnist,resnet18,16,sgd,0.001,plateau,10,35,True,99.18571428571428,99.26428571428572,314122.16806411743,0.03G,2026-01-22 02:35:02
mnist,resnet18,16,sgd,0.001,plateau,10,78,True,99.2,99.2,306867.5229549408,0.03G,2026-01-22 02:40:26
mnist,resnet18,16,sgd,0.001,plateau,10,13,True,99.11428571428571,99.17857142857143,302669.291973114,0.03G,2026-01-22 02:45:46
mnist,resnet18,16,sgd,0.001,cosine,10,35,True,99.17142857142858,99.27142857142857,295817.45624542236,0.03G,2026-01-22 02:51:01
mnist,resnet18,16,sgd,0.001,cosine,10,78,True,99.27142857142857,99.37142857142857,304131.6862106323,0.03G,2026-01-22 02:56:23
mnist,resnet18,16,sgd,0.001,cosine,10,13,True,99.15714285714286,99.24285714285715,313694.51093673706,0.03G,2026-01-22 03:01:53
mnist,resnet18,16,sgd,0.0001,none,10,35,True,98.87142857142857,98.92142857142858,304058.65025520325,0.03G,2026-01-22 03:07:18
mnist,resnet18,16,sgd,0.0001,none,10,78,True,98.8,98.94285714285714,288288.36369514465,0.03G,2026-01-22 03:12:23
mnist,resnet18,16,sgd,0.0001,none,10,13,True,98.84285714285714,98.82857142857142,295580.002784729,0.03G,2026-01-22 03:17:36
mnist,resnet18,16,sgd,0.0001,plateau,10,35,True,98.87142857142857,98.92142857142858,305427.9408454895,0.03G,2026-01-22 03:23:02
mnist,resnet18,16,sgd,0.0001,plateau,10,78,True,98.8,98.94285714285714,291721.492767334,0.03G,2026-01-22 03:28:12
mnist,resnet18,16,sgd,0.0001,plateau,10,13,True,98.84285714285714,98.82857142857142,305600.5165576935,0.03G,2026-01-22 03:33:36
mnist,resnet18,16,sgd,0.0001,cosine,10,35,True,98.68571428571428,98.82857142857142,304218.3949947357,0.03G,2026-01-22 03:38:59
mnist,resnet18,16,sgd,0.0001,cosine,10,78,True,98.8,98.93571428571428,307387.1793746948,0.03G,2026-01-22 03:44:23
mnist,resnet18,16,sgd,0.0001,cosine,10,13,True,98.78571428571429,98.73571428571428,297816.02358818054,0.03G,2026-01-22 03:49:38
mnist,resnet18,16,adam,0.001,none,10,35,True,99.27142857142857,99.26428571428572,337593.355178833,0.03G,2026-01-22 03:55:36
mnist,resnet18,16,adam,0.001,none,10,78,True,99.18571428571428,99.19285714285714,324322.58224487305,0.03G,2026-01-22 04:01:16
mnist,resnet18,16,adam,0.001,none,10,13,True,99.24285714285715,99.21428571428571,332443.6550140381,0.03G,2026-01-22 04:07:06
mnist,resnet18,16,adam,0.001,plateau,10,35,True,99.27142857142857,99.26428571428572,339479.6493053436,0.03G,2026-01-22 04:13:06
mnist,resnet18,16,adam,0.001,plateau,10,78,True,99.18571428571428,99.19285714285714,366360.1326942444,0.03G,2026-01-22 04:19:29
mnist,resnet18,16,adam,0.001,plateau,10,13,True,99.24285714285715,99.21428571428571,341897.3898887634,0.03G,2026-01-22 04:25:28
mnist,resnet18,16,adam,0.001,cosine,10,35,True,99.5,99.41428571428571,351074.7878551483,0.03G,2026-01-22 04:31:38
mnist,resnet18,16,adam,0.001,cosine,10,78,True,99.38571428571429,99.54285714285714,314565.93227386475,0.03G,2026-01-22 04:37:09
mnist,resnet18,16,adam,0.001,cosine,10,13,True,99.45714285714286,99.49285714285715,313261.1610889435,0.03G,2026-01-22 04:42:40
mnist,resnet18,16,adam,0.0001,none,10,35,True,99.12857142857143,99.26428571428572,335907.91058540344,0.03G,2026-01-22 04:48:36
mnist,resnet18,16,adam,0.0001,none,10,78,True,99.11428571428571,99.05,326617.54393577576,0.03G,2026-01-22 04:54:19
mnist,resnet18,16,adam,0.0001,none,10,13,True,99.05714285714286,99.16428571428571,322669.7487831116,0.03G,2026-01-22 04:59:58
mnist,resnet18,16,adam,0.0001,plateau,10,35,True,99.12857142857143,99.26428571428572,339931.10966682434,0.03G,2026-01-22 05:05:58
mnist,resnet18,16,adam,0.0001,plateau,10,78,True,99.11428571428571,99.05,327751.11842155457,0.03G,2026-01-22 05:11:44
mnist,resnet18,16,adam,0.0001,plateau,10,13,True,99.05714285714286,99.16428571428571,332605.1330566406,0.03G,2026-01-22 05:17:34
mnist,resnet18,16,adam,0.0001,cosine,10,35,True,99.37142857142857,99.29285714285714,323658.00499916077,0.03G,2026-01-22 05:23:17
mnist,resnet18,16,adam,0.0001,cosine,10,78,True,99.28571428571429,99.24285714285715,328512.16340065,0.03G,2026-01-22 05:29:02
mnist,resnet18,16,adam,0.0001,cosine,10,13,True,99.24285714285715,99.31428571428572,342027.117729187,0.03G,2026-01-22 05:35:01
mnist,resnet18,32,sgd,0.001,none,10,35,True,99.21428571428571,99.15714285714286,147205.14512062073,0.03G,2026-01-22 05:37:40
mnist,resnet18,32,sgd,0.001,none,10,78,True,99.14285714285714,99.05714285714286,154850.6157398224,0.03G,2026-01-22 05:40:25
mnist,resnet18,32,sgd,0.001,none,10,13,True,99.04285714285714,99.18571428571428,136103.53636741638,0.03G,2026-01-22 05:42:52
mnist,resnet18,32,sgd,0.001,plateau,10,35,True,99.21428571428571,99.15714285714286,145587.8391265869,0.03G,2026-01-22 05:45:30
mnist,resnet18,32,sgd,0.001,plateau,10,78,True,99.14285714285714,99.05714285714286,155459.72752571106,0.03G,2026-01-22 05:48:16
